Document,Model,Evaluation_Mode,Overall_Precision,Overall_Recall,Overall_F1,Total_TP,Total_FP,Total_FN,Total_Gold,Total_Predicted
S.V. v. ITALY,dolphin-mixtral:8x7b,Strict,0.350,0.095,0.149,7,13,67,74,20
SHVIDKIYE v. RUSSIA,gemma3:1b,Lenient,0.000,0.000,0.000,0,0,91,91,0
SHVIDKIYE v. RUSSIA,gemma3:1b,Strict,0.000,0.000,0.000,0,0,91,91,0
SHVIDKIYE v. RUSSIA,gemma3:4b,Lenient,0.710,0.242,0.361,22,9,69,91,31
SHVIDKIYE v. RUSSIA,gemma3:4b,Strict,0.452,0.154,0.230,14,17,77,91,31
SHVIDKIYE v. RUSSIA,gemma3:12b,Lenient,0.595,0.242,0.344,22,15,69,91,37
SHVIDKIYE v. RUSSIA,gemma3:12b,Strict,0.405,0.165,0.234,15,22,76,91,37
SHVIDKIYE v. RUSSIA,llama3.3:latest,Lenient,0.708,0.505,0.590,46,19,45,91,65
SHVIDKIYE v. RUSSIA,llama3.3:latest,Strict,0.354,0.253,0.295,23,42,68,91,65
SHVIDKIYE v. RUSSIA,deepseek-r1:8b,Lenient,0.458,0.363,0.405,33,39,58,91,72
SHVIDKIYE v. RUSSIA,deepseek-r1:8b,Strict,0.264,0.209,0.233,19,53,72,91,72
SHVIDKIYE v. RUSSIA,mistral:latest,Lenient,0.388,0.516,0.443,47,74,44,91,121
SHVIDKIYE v. RUSSIA,mistral:latest,Strict,0.240,0.319,0.274,29,92,62,91,121
SHVIDKIYE v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.560,0.154,0.241,14,11,77,91,25
SHVIDKIYE v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.200,0.055,0.086,5,20,86,91,25
SHVIDKIYE v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.567,0.374,0.450,34,26,57,91,60
SHVIDKIYE v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.183,0.121,0.146,11,49,80,91,60
SHVIDKIYE v. RUSSIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,91,91,0
SHVIDKIYE v. RUSSIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,91,91,0
SHVIDKIYE v. RUSSIA,mixtral:8x7b,Lenient,0.727,0.264,0.387,24,9,67,91,33
SHVIDKIYE v. RUSSIA,mixtral:8x7b,Strict,0.303,0.110,0.161,10,23,81,91,33
SHVIDKIYE v. RUSSIA,dolphin3:8b,Lenient,0.611,0.242,0.346,22,14,69,91,36
SHVIDKIYE v. RUSSIA,dolphin3:8b,Strict,0.417,0.165,0.236,15,21,76,91,36
SHVIDKIYE v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.417,0.055,0.097,5,7,86,91,12
SHVIDKIYE v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.250,0.033,0.058,3,9,88,91,12
SIDOROVA v. RUSSIA,gemma3:1b,Lenient,0.154,0.037,0.060,2,11,52,54,13
SIDOROVA v. RUSSIA,gemma3:1b,Strict,0.077,0.019,0.030,1,12,53,54,13
SIDOROVA v. RUSSIA,gemma3:4b,Lenient,0.000,0.000,0.000,0,15,54,54,15
SIDOROVA v. RUSSIA,gemma3:4b,Strict,0.000,0.000,0.000,0,15,54,54,15
SIDOROVA v. RUSSIA,gemma3:12b,Lenient,0.649,0.444,0.527,24,13,30,54,37
SIDOROVA v. RUSSIA,gemma3:12b,Strict,0.324,0.222,0.264,12,25,42,54,37
SIDOROVA v. RUSSIA,llama3.3:latest,Lenient,0.583,0.130,0.212,7,5,47,54,12
SIDOROVA v. RUSSIA,llama3.3:latest,Strict,0.333,0.074,0.121,4,8,50,54,12
SIDOROVA v. RUSSIA,deepseek-r1:8b,Lenient,0.348,0.148,0.208,8,15,46,54,23
SIDOROVA v. RUSSIA,deepseek-r1:8b,Strict,0.130,0.056,0.078,3,20,51,54,23
SIDOROVA v. RUSSIA,mistral:latest,Lenient,0.184,0.167,0.175,9,40,45,54,49
SIDOROVA v. RUSSIA,mistral:latest,Strict,0.061,0.056,0.058,3,46,51,54,49
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.500,0.111,0.182,6,6,48,54,12
SIDOROVA v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.250,0.056,0.091,3,9,51,54,12
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.745,0.759,0.752,41,14,13,54,55
SIDOROVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.236,0.241,0.239,13,42,41,54,55
SIDOROVA v. RUSSIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,54,54,0
SIDOROVA v. RUSSIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,54,54,0
SIDOROVA v. RUSSIA,mixtral:8x7b,Lenient,0.375,0.056,0.097,3,5,51,54,8
SIDOROVA v. RUSSIA,mixtral:8x7b,Strict,0.125,0.019,0.032,1,7,53,54,8
SIDOROVA v. RUSSIA,dolphin3:8b,Lenient,0.429,0.056,0.098,3,4,51,54,7
SIDOROVA v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,7,54,54,7
SIDOROVA v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.000,0.000,0.000,0,0,54,54,0
SIDOROVA v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.000,0.000,0.000,0,0,54,54,0
SOLCAN v. ROMANIA,gemma3:1b,Lenient,0.364,0.145,0.208,8,14,47,55,22
SOLCAN v. ROMANIA,gemma3:1b,Strict,0.273,0.109,0.156,6,16,49,55,22
SOLCAN v. ROMANIA,gemma3:4b,Lenient,0.189,0.182,0.185,10,43,45,55,53
SOLCAN v. ROMANIA,gemma3:4b,Strict,0.094,0.091,0.093,5,48,50,55,53
SOLCAN v. ROMANIA,gemma3:12b,Lenient,0.686,0.436,0.533,24,11,31,55,35
SOLCAN v. ROMANIA,gemma3:12b,Strict,0.543,0.345,0.422,19,16,36,55,35
SOLCAN v. ROMANIA,llama3.3:latest,Lenient,0.741,0.364,0.488,20,7,35,55,27
SOLCAN v. ROMANIA,llama3.3:latest,Strict,0.259,0.127,0.171,7,20,48,55,27
SOLCAN v. ROMANIA,deepseek-r1:8b,Lenient,0.538,0.382,0.447,21,18,34,55,39
SOLCAN v. ROMANIA,deepseek-r1:8b,Strict,0.308,0.218,0.255,12,27,43,55,39
SOLCAN v. ROMANIA,mistral:latest,Lenient,0.313,0.473,0.377,26,57,29,55,83
SOLCAN v. ROMANIA,mistral:latest,Strict,0.277,0.418,0.333,23,60,32,55,83
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Lenient,0.280,0.255,0.267,14,36,41,55,50
SOLCAN v. ROMANIA,incept5/llama3.1-claude:latest,Strict,0.200,0.182,0.190,10,40,45,55,50
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.538,0.127,0.206,7,6,48,55,13
SOLCAN v. ROMANIA,chevalblanc/claude-3-haiku:latest,Strict,0.385,0.091,0.147,5,8,50,55,13
SOLCAN v. ROMANIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,55,55,0
SOLCAN v. ROMANIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,55,55,0
SOLCAN v. ROMANIA,mixtral:8x7b,Lenient,0.000,0.000,0.000,0,5,55,55,5
SOLCAN v. ROMANIA,mixtral:8x7b,Strict,0.000,0.000,0.000,0,5,55,55,5
SOLCAN v. ROMANIA,dolphin3:8b,Lenient,0.222,0.073,0.110,4,14,51,55,18
SOLCAN v. ROMANIA,dolphin3:8b,Strict,0.167,0.055,0.082,3,15,52,55,18
SOLCAN v. ROMANIA,dolphin-mixtral:8x7b,Lenient,0.536,0.273,0.361,15,13,40,55,28
SOLCAN v. ROMANIA,dolphin-mixtral:8x7b,Strict,0.214,0.109,0.145,6,22,49,55,28
STANA v. ROMANIA,gemma3:1b,Lenient,0.538,0.259,0.350,7,6,20,27,13
STANA v. ROMANIA,gemma3:1b,Strict,0.308,0.148,0.200,4,9,23,27,13
STANA v. ROMANIA,gemma3:4b,Lenient,0.440,0.407,0.423,11,14,16,27,25
STANA v. ROMANIA,gemma3:4b,Strict,0.240,0.222,0.231,6,19,21,27,25
STANA v. ROMANIA,gemma3:12b,Lenient,0.370,0.370,0.370,10,17,17,27,27
STANA v. ROMANIA,gemma3:12b,Strict,0.148,0.148,0.148,4,23,23,27,27
STANA v. ROMANIA,llama3.3:latest,Lenient,0.789,0.556,0.652,15,4,12,27,19
STANA v. ROMANIA,llama3.3:latest,Strict,0.316,0.222,0.261,6,13,21,27,19
STANA v. ROMANIA,deepseek-r1:8b,Lenient,0.500,0.444,0.471,12,12,15,27,24
STANA v. ROMANIA,deepseek-r1:8b,Strict,0.208,0.185,0.196,5,19,22,27,24
STANA v. ROMANIA,mistral:latest,Lenient,0.281,0.333,0.305,9,23,18,27,32
STANA v. ROMANIA,mistral:latest,Strict,0.156,0.185,0.169,5,27,22,27,32
STANA v. ROMANIA,incept5/llama3.1-claude:latest,Lenient,0.818,0.333,0.474,9,2,18,27,11
STANA v. ROMANIA,incept5/llama3.1-claude:latest,Strict,0.182,0.074,0.105,2,9,25,27,11
STANA v. ROMANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.550,0.407,0.468,11,9,16,27,20
STANA v. ROMANIA,chevalblanc/claude-3-haiku:latest,Strict,0.200,0.148,0.170,4,16,23,27,20
STANA v. ROMANIA,llama4:16x17b,Lenient,0.625,0.185,0.286,5,3,22,27,8
STANA v. ROMANIA,llama4:16x17b,Strict,0.375,0.111,0.171,3,5,24,27,8
STANA v. ROMANIA,mixtral:8x7b,Lenient,0.375,0.111,0.171,3,5,24,27,8
STANA v. ROMANIA,mixtral:8x7b,Strict,0.125,0.037,0.057,1,7,26,27,8
STANA v. ROMANIA,dolphin3:8b,Lenient,0.600,0.222,0.324,6,4,21,27,10
STANA v. ROMANIA,dolphin3:8b,Strict,0.300,0.111,0.162,3,7,24,27,10
STANA v. ROMANIA,dolphin-mixtral:8x7b,Lenient,0.500,0.444,0.471,12,12,15,27,24
STANA v. ROMANIA,dolphin-mixtral:8x7b,Strict,0.167,0.148,0.157,4,20,23,27,24
VISY v. SLOVAKIA,gemma3:1b,Lenient,0.043,0.016,0.024,1,22,60,61,23
VISY v. SLOVAKIA,gemma3:1b,Strict,0.043,0.016,0.024,1,22,60,61,23
VISY v. SLOVAKIA,gemma3:4b,Lenient,0.273,0.197,0.229,12,32,49,61,44
VISY v. SLOVAKIA,gemma3:4b,Strict,0.182,0.131,0.152,8,36,53,61,44
VISY v. SLOVAKIA,gemma3:12b,Lenient,0.417,0.246,0.309,15,21,46,61,36
VISY v. SLOVAKIA,gemma3:12b,Strict,0.278,0.164,0.206,10,26,51,61,36
VISY v. SLOVAKIA,llama3.3:latest,Lenient,0.217,0.508,0.304,31,112,30,61,143
VISY v. SLOVAKIA,llama3.3:latest,Strict,0.098,0.230,0.137,14,129,47,61,143
VISY v. SLOVAKIA,deepseek-r1:8b,Lenient,0.161,0.082,0.109,5,26,56,61,31
VISY v. SLOVAKIA,deepseek-r1:8b,Strict,0.097,0.049,0.065,3,28,58,61,31
VISY v. SLOVAKIA,mistral:latest,Lenient,0.182,0.459,0.260,28,126,33,61,154
VISY v. SLOVAKIA,mistral:latest,Strict,0.136,0.344,0.195,21,133,40,61,154
VISY v. SLOVAKIA,incept5/llama3.1-claude:latest,Lenient,0.364,0.131,0.193,8,14,53,61,22
VISY v. SLOVAKIA,incept5/llama3.1-claude:latest,Strict,0.227,0.082,0.120,5,17,56,61,22
VISY v. SLOVAKIA,chevalblanc/claude-3-haiku:latest,Lenient,1.000,0.049,0.094,3,0,58,61,3
VISY v. SLOVAKIA,chevalblanc/claude-3-haiku:latest,Strict,0.333,0.016,0.031,1,2,60,61,3
VISY v. SLOVAKIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,61,61,0
VISY v. SLOVAKIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,61,61,0
VISY v. SLOVAKIA,mixtral:8x7b,Lenient,0.000,0.000,0.000,0,0,61,61,0
VISY v. SLOVAKIA,mixtral:8x7b,Strict,0.000,0.000,0.000,0,0,61,61,0
VISY v. SLOVAKIA,dolphin3:8b,Lenient,0.333,0.098,0.152,6,12,55,61,18
VISY v. SLOVAKIA,dolphin3:8b,Strict,0.278,0.082,0.127,5,13,56,61,18
VISY v. SLOVAKIA,dolphin-mixtral:8x7b,Lenient,0.372,0.262,0.308,16,27,45,61,43
VISY v. SLOVAKIA,dolphin-mixtral:8x7b,Strict,0.209,0.148,0.173,9,34,52,61,43
YAKUSHEV v. UKRAINE,gemma3:1b,Lenient,0.464,0.265,0.338,13,15,36,49,28
YAKUSHEV v. UKRAINE,gemma3:1b,Strict,0.321,0.184,0.234,9,19,40,49,28
YAKUSHEV v. UKRAINE,gemma3:4b,Lenient,0.429,0.367,0.396,18,24,31,49,42
YAKUSHEV v. UKRAINE,gemma3:4b,Strict,0.262,0.224,0.242,11,31,38,49,42
YAKUSHEV v. UKRAINE,gemma3:12b,Lenient,0.604,0.592,0.598,29,19,20,49,48
YAKUSHEV v. UKRAINE,gemma3:12b,Strict,0.375,0.367,0.371,18,30,31,49,48
YAKUSHEV v. UKRAINE,llama3.3:latest,Lenient,0.757,0.571,0.651,28,9,21,49,37
YAKUSHEV v. UKRAINE,llama3.3:latest,Strict,0.378,0.286,0.326,14,23,35,49,37
YAKUSHEV v. UKRAINE,deepseek-r1:8b,Lenient,0.000,0.000,0.000,0,3,49,49,3
YAKUSHEV v. UKRAINE,deepseek-r1:8b,Strict,0.000,0.000,0.000,0,3,49,49,3
YAKUSHEV v. UKRAINE,mistral:latest,Lenient,0.413,0.531,0.464,26,37,23,49,63
YAKUSHEV v. UKRAINE,mistral:latest,Strict,0.254,0.327,0.286,16,47,33,49,63
YAKUSHEV v. UKRAINE,incept5/llama3.1-claude:latest,Lenient,0.640,0.327,0.432,16,9,33,49,25
YAKUSHEV v. UKRAINE,incept5/llama3.1-claude:latest,Strict,0.360,0.184,0.243,9,16,40,49,25
YAKUSHEV v. UKRAINE,chevalblanc/claude-3-haiku:latest,Lenient,0.773,0.347,0.479,17,5,32,49,22
YAKUSHEV v. UKRAINE,chevalblanc/claude-3-haiku:latest,Strict,0.136,0.061,0.085,3,19,46,49,22
YAKUSHEV v. UKRAINE,llama4:16x17b,Lenient,0.400,0.082,0.136,4,6,45,49,10
YAKUSHEV v. UKRAINE,llama4:16x17b,Strict,0.200,0.041,0.068,2,8,47,49,10
YAKUSHEV v. UKRAINE,mixtral:8x7b,Lenient,0.667,0.122,0.207,6,3,43,49,9
YAKUSHEV v. UKRAINE,mixtral:8x7b,Strict,0.333,0.061,0.103,3,6,46,49,9
YAKUSHEV v. UKRAINE,dolphin3:8b,Lenient,0.500,0.143,0.222,7,7,42,49,14
YAKUSHEV v. UKRAINE,dolphin3:8b,Strict,0.071,0.020,0.032,1,13,48,49,14
YAKUSHEV v. UKRAINE,dolphin-mixtral:8x7b,Lenient,0.741,0.408,0.526,20,7,29,49,27
YAKUSHEV v. UKRAINE,dolphin-mixtral:8x7b,Strict,0.296,0.163,0.211,8,19,41,49,27
YERMAKOVICH v. RUSSIA,gemma3:1b,Lenient,0.250,0.016,0.029,2,6,126,128,8
YERMAKOVICH v. RUSSIA,gemma3:1b,Strict,0.250,0.016,0.029,2,6,126,128,8
YERMAKOVICH v. RUSSIA,gemma3:4b,Lenient,0.333,0.016,0.030,2,4,126,128,6
YERMAKOVICH v. RUSSIA,gemma3:4b,Strict,0.333,0.016,0.030,2,4,126,128,6
YERMAKOVICH v. RUSSIA,gemma3:12b,Lenient,0.348,0.062,0.106,8,15,120,128,23
YERMAKOVICH v. RUSSIA,gemma3:12b,Strict,0.174,0.031,0.053,4,19,124,128,23
YERMAKOVICH v. RUSSIA,llama3.3:latest,Lenient,0.876,0.609,0.719,78,11,50,128,89
YERMAKOVICH v. RUSSIA,llama3.3:latest,Strict,0.303,0.211,0.249,27,62,101,128,89
YERMAKOVICH v. RUSSIA,deepseek-r1:8b,Lenient,0.121,0.094,0.106,12,87,116,128,99
YERMAKOVICH v. RUSSIA,deepseek-r1:8b,Strict,0.061,0.047,0.053,6,93,122,128,99
YERMAKOVICH v. RUSSIA,mistral:latest,Lenient,0.484,0.234,0.316,30,32,98,128,62
YERMAKOVICH v. RUSSIA,mistral:latest,Strict,0.435,0.211,0.284,27,35,101,128,62
YERMAKOVICH v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.333,0.023,0.044,3,6,125,128,9
YERMAKOVICH v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.222,0.016,0.029,2,7,126,128,9
YERMAKOVICH v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.685,0.289,0.407,37,17,91,128,54
YERMAKOVICH v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.389,0.164,0.231,21,33,107,128,54
YERMAKOVICH v. RUSSIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,128,128,0
YERMAKOVICH v. RUSSIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,128,128,0
YERMAKOVICH v. RUSSIA,mixtral:8x7b,Lenient,0.400,0.031,0.058,4,6,124,128,10
YERMAKOVICH v. RUSSIA,mixtral:8x7b,Strict,0.200,0.016,0.029,2,8,126,128,10
YERMAKOVICH v. RUSSIA,dolphin3:8b,Lenient,0.000,0.000,0.000,0,1,128,128,1
YERMAKOVICH v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,1,128,128,1
YERMAKOVICH v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.688,0.172,0.275,22,10,106,128,32
YERMAKOVICH v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.344,0.086,0.138,11,21,117,128,32
YEVGENIY ZAKHAROV v. RUSSIA,gemma3:1b,Lenient,0.417,0.156,0.227,10,14,54,64,24
YEVGENIY ZAKHAROV v. RUSSIA,gemma3:1b,Strict,0.250,0.094,0.136,6,18,58,64,24
YEVGENIY ZAKHAROV v. RUSSIA,gemma3:4b,Lenient,0.556,0.312,0.400,20,16,44,64,36
YEVGENIY ZAKHAROV v. RUSSIA,gemma3:4b,Strict,0.306,0.172,0.220,11,25,53,64,36
YEVGENIY ZAKHAROV v. RUSSIA,gemma3:12b,Lenient,0.565,0.203,0.299,13,10,51,64,23
YEVGENIY ZAKHAROV v. RUSSIA,gemma3:12b,Strict,0.348,0.125,0.184,8,15,56,64,23
YEVGENIY ZAKHAROV v. RUSSIA,llama3.3:latest,Lenient,0.703,0.406,0.515,26,11,38,64,37
YEVGENIY ZAKHAROV v. RUSSIA,llama3.3:latest,Strict,0.297,0.172,0.218,11,26,53,64,37
YEVGENIY ZAKHAROV v. RUSSIA,deepseek-r1:8b,Lenient,0.480,0.188,0.270,12,13,52,64,25
YEVGENIY ZAKHAROV v. RUSSIA,deepseek-r1:8b,Strict,0.160,0.062,0.090,4,21,60,64,25
YEVGENIY ZAKHAROV v. RUSSIA,mistral:latest,Lenient,0.195,0.344,0.249,22,91,42,64,113
YEVGENIY ZAKHAROV v. RUSSIA,mistral:latest,Strict,0.142,0.250,0.181,16,97,48,64,113
YEVGENIY ZAKHAROV v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.291,0.391,0.333,25,61,39,64,86
YEVGENIY ZAKHAROV v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.221,0.297,0.253,19,67,45,64,86
YEVGENIY ZAKHAROV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.619,0.203,0.306,13,8,51,64,21
YEVGENIY ZAKHAROV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.238,0.078,0.118,5,16,59,64,21
YEVGENIY ZAKHAROV v. RUSSIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,64,64,0
YEVGENIY ZAKHAROV v. RUSSIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,64,64,0
YEVGENIY ZAKHAROV v. RUSSIA,mixtral:8x7b,Lenient,0.222,0.031,0.055,2,7,62,64,9
YEVGENIY ZAKHAROV v. RUSSIA,mixtral:8x7b,Strict,0.111,0.016,0.027,1,8,63,64,9
YEVGENIY ZAKHAROV v. RUSSIA,dolphin3:8b,Lenient,0.286,0.031,0.056,2,5,62,64,7
YEVGENIY ZAKHAROV v. RUSSIA,dolphin3:8b,Strict,0.143,0.016,0.028,1,6,63,64,7
YEVGENIY ZAKHAROV v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.000,0.000,0.000,0,0,64,64,0
YEVGENIY ZAKHAROV v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.000,0.000,0.000,0,0,64,64,0
_NODI v. HUNGARY,gemma3:1b,Lenient,0.463,0.154,0.232,19,22,104,123,41
_NODI v. HUNGARY,gemma3:1b,Strict,0.390,0.130,0.195,16,25,107,123,41
_NODI v. HUNGARY,gemma3:4b,Lenient,0.324,0.187,0.237,23,48,100,123,71
_NODI v. HUNGARY,gemma3:4b,Strict,0.141,0.081,0.103,10,61,113,123,71
_NODI v. HUNGARY,gemma3:12b,Lenient,0.471,0.325,0.385,40,45,83,123,85
_NODI v. HUNGARY,gemma3:12b,Strict,0.294,0.203,0.240,25,60,98,123,85
_NODI v. HUNGARY,llama3.3:latest,Lenient,0.533,0.398,0.456,49,43,74,123,92
_NODI v. HUNGARY,llama3.3:latest,Strict,0.283,0.211,0.242,26,66,97,123,92
_NODI v. HUNGARY,deepseek-r1:8b,Lenient,0.511,0.366,0.427,45,43,78,123,88
_NODI v. HUNGARY,deepseek-r1:8b,Strict,0.216,0.154,0.180,19,69,104,123,88
_NODI v. HUNGARY,mistral:latest,Lenient,0.420,0.341,0.377,42,58,81,123,100
_NODI v. HUNGARY,mistral:latest,Strict,0.300,0.244,0.269,30,70,93,123,100
_NODI v. HUNGARY,incept5/llama3.1-claude:latest,Lenient,0.500,0.179,0.263,22,22,101,123,44
_NODI v. HUNGARY,incept5/llama3.1-claude:latest,Strict,0.318,0.114,0.168,14,30,109,123,44
_NODI v. HUNGARY,chevalblanc/claude-3-haiku:latest,Lenient,0.400,0.033,0.060,4,6,119,123,10
_NODI v. HUNGARY,chevalblanc/claude-3-haiku:latest,Strict,0.100,0.008,0.015,1,9,122,123,10
_NODI v. HUNGARY,llama4:16x17b,Lenient,0.667,0.016,0.032,2,1,121,123,3
_NODI v. HUNGARY,llama4:16x17b,Strict,0.333,0.008,0.016,1,2,122,123,3
_NODI v. HUNGARY,mixtral:8x7b,Lenient,0.333,0.024,0.045,3,6,120,123,9
_NODI v. HUNGARY,mixtral:8x7b,Strict,0.111,0.008,0.015,1,8,122,123,9
_NODI v. HUNGARY,dolphin3:8b,Lenient,0.600,0.146,0.235,18,12,105,123,30
_NODI v. HUNGARY,dolphin3:8b,Strict,0.400,0.098,0.157,12,18,111,123,30
_NODI v. HUNGARY,dolphin-mixtral:8x7b,Lenient,0.618,0.171,0.268,21,13,102,123,34
_NODI v. HUNGARY,dolphin-mixtral:8x7b,Strict,0.294,0.081,0.127,10,24,113,123,34
